objectid,mb_code_2021,change_flag_2021,sa2_name_2021,Suburb_Name
4361,10048660000,0,Panania (South) - Picnic Point,Picnic Point
4362,10048670000,0,Panania (South) - Picnic Point,Picnic Point
4363,10048690000,0,Panania (South) - Picnic Point,Picnic Point
4364,10048700000,0,Panania (South) - Picnic Point,Picnic Point
4365,10048710000,0,Panania (South) - Picnic Point,Picnic Point
4366,10048720000,0,Panania (South) - Picnic Point,Picnic Point
4367,10048740000,0,Panania (South) - Picnic Point,Picnic Point
4368,10048780000,0,Revesby,Revesby Heights
4369,10048790000,0,Panania (South) - Picnic Point,Revesby Heights
4370,10048800000,0,Revesby,Revesby Heights
4371,10048810000,0,Revesby,Revesby Heights
4372,10048820000,0,Revesby,Revesby Heights
4373,10048830000,0,Revesby,Revesby Heights
4374,10048840000,0,Revesby,Revesby Heights
4375,10048850000,0,Revesby,Revesby Heights
4376,10048860000,0,Revesby,Revesby Heights
4377,10048870000,0,Revesby,Revesby Heights
4378,10048880000,0,Revesby,Revesby Heights
4379,10048890000,0,Revesby,Revesby Heights
4380,10048901000,0,Padstow,Padstow Heights
4381,10048902000,0,Padstow,Padstow Heights
4382,10048910000,0,Padstow,Padstow Heights
4383,10048920000,0,Padstow,Padstow Heights
4384,10048930000,0,Padstow,Padstow Heights
4385,10048940000,0,Padstow,Padstow Heights
4386,10048950000,0,Padstow,Padstow Heights
4387,10048960000,0,Padstow,Padstow Heights
4388,10048970000,0,Padstow,Padstow Heights
4389,10048980000,0,Padstow,Padstow Heights
4390,10048990000,0,Padstow,Padstow Heights
4391,10049000000,0,Padstow,Padstow Heights
4392,10049010000,0,Padstow,Padstow Heights
4393,10049020000,0,Padstow,Padstow Heights
4394,10049030000,0,Padstow,Padstow Heights
4395,10049040000,0,Padstow,Padstow Heights
4396,10049050000,0,Padstow,Padstow Heights
4397,10049060000,0,Padstow,Padstow Heights
4398,10049070000,0,Padstow,Padstow Heights
4399,10049080000,0,Padstow,Padstow Heights
4400,10049091000,0,Padstow,Padstow Heights
4401,10049092000,0,Padstow,Padstow Heights
4402,10049100000,0,Padstow,Padstow Heights
4403,10049110000,0,Padstow,Padstow Heights
4404,10049121000,0,Padstow,Padstow Heights
4405,10049122000,0,Padstow,Padstow Heights
4406,10049123000,0,Padstow,Padstow Heights
4407,10049130000,0,Padstow,Padstow Heights
4408,10049140000,0,Padstow,Padstow Heights
4409,10049150000,0,Padstow,Padstow Heights
4410,10049160000,0,Padstow,Padstow Heights
4411,10049170000,0,Padstow,Padstow Heights
4412,10049180000,0,Padstow,Padstow
4413,10049190000,0,Padstow,Padstow
4414,10049200000,0,Padstow,Padstow
4415,10049210000,0,Padstow,Padstow
4416,10049221000,0,Padstow,Padstow
4417,10049222000,0,Padstow,Padstow
4418,10049230000,0,Padstow,Padstow
4419,10049250000,0,Padstow,Padstow
4420,10049261000,0,Padstow,Padstow
4421,10049262000,0,Padstow,Padstow
4422,10049270000,0,Padstow,Padstow
4423,10049280000,0,Padstow,Padstow
4424,10049290000,0,Padstow,Padstow
4425,10049300000,0,Padstow,Padstow
4426,10049320000,0,Padstow,Padstow
4427,10049330000,0,Padstow,Padstow
4428,10049340000,0,Padstow,Padstow
4429,10049350000,0,Padstow,Padstow
4430,10049360000,0,Padstow,Padstow
4431,10049370000,0,Padstow,Padstow
4432,10049380000,0,Padstow,Padstow
4433,10049390000,0,Padstow,Padstow
4434,10049410000,0,Padstow,Padstow
4435,10049420000,0,Padstow,Padstow
4436,10049430000,0,Padstow,Padstow
4437,10049440000,0,Padstow,Padstow
4438,10049450000,0,Padstow,Padstow
4439,10049460000,0,Padstow,Padstow
4440,10049470000,0,Padstow,Padstow
4441,10049480000,0,Padstow,Padstow
4442,10049490000,0,Padstow,Padstow
4443,10049500000,0,Padstow,Padstow
4444,10049510000,0,Padstow,Padstow
4445,10049520000,0,Padstow,Padstow
4446,10049530000,0,Padstow,Padstow
4447,10049541000,0,Padstow,Padstow
4448,10049542000,0,Padstow,Padstow
4449,10049550000,0,Padstow,Padstow
4450,10049560000,0,Padstow,Padstow
4451,10049570000,0,Padstow,Padstow
4452,10049580000,0,Revesby,Padstow
4453,10049590000,0,Padstow,Padstow
4454,10049600000,0,Padstow,Padstow
4455,10049610000,0,Padstow,Padstow
4456,10049620000,0,Padstow,Padstow
4457,10049630000,0,Padstow,Padstow
4458,10049640000,0,Padstow,Padstow
4459,10049651000,0,Padstow,Padstow
4460,10049653000,0,Padstow,Padstow
4461,10049654000,0,Padstow,Padstow
4462,10049661000,0,Padstow,Padstow
4463,10049662000,0,Padstow,Padstow
4464,10049671000,0,Padstow,Padstow
4465,10049672000,0,Padstow,Padstow
4466,10049680000,0,Padstow,Padstow
4467,10049690000,0,Padstow,Padstow
4468,10049700000,0,Padstow,Padstow
4469,10049710000,0,Padstow,Padstow
4470,10049720000,0,Padstow,Padstow
4471,10049730000,0,Padstow,Padstow
4472,10049740000,0,Padstow,Padstow
4473,10049750000,0,Padstow,Padstow
4474,10049760000,0,Padstow,Padstow
4475,10049770000,0,Padstow,Padstow
4476,10049780000,0,Padstow,Padstow
4477,10049790000,0,Padstow,Padstow
4478,10049800000,0,Padstow,Padstow
4479,10049811000,0,Revesby,Revesby
4480,10049812000,0,Revesby,Revesby
4481,10049820000,0,Padstow,Revesby
4482,10049840000,0,Revesby,Revesby
4483,10049850000,0,Padstow,Padstow
4484,10049860000,0,Revesby,Revesby
4485,10049870000,0,Revesby,Revesby
4486,10049880000,0,Revesby,Revesby
4487,10049890000,0,Revesby,Revesby
4488,10049900000,0,Revesby,Revesby
4489,10049910000,0,Revesby,Revesby
4490,10049940000,0,Padstow,Padstow
4491,10049950000,0,Revesby,Revesby
4492,10049960000,0,Revesby,Revesby
4493,10049970000,0,Revesby,Revesby
